"Année","Périmètre juridique","Legal perimeter","Périmètre spatial","Spatial perimeter","Emissions CO2","Unité","Méthode de consolidation","Consolidation method"
2024,"Groupe EDF","EDF Group","Chili","Chile",343.825,"ktonnes","Nette","Net"
2024,"Groupe EDF","EDF Group","Viêt Nam","Vietnam",753.291,"ktonnes","Nette","Net"
2024,"Groupe EDF","EDF Group","États-Unis","United States of America",2.07529,"ktonnes","Nette","Net"
2024,"Groupe EDF","EDF Group","Royaume-Uni","United Kingdom",0.00805,"ktonnes","Nette","Net"
2024,"Groupe EDF","EDF Group","Turquie","Turkey",0.769102464247104,"ktonnes","Nette","Net"
2024,"Groupe EDF","EDF Group","Pologne","Poland",257.8169082,"ktonnes","Nette","Net"
2024,"Groupe EDF","EDF Group","Italie","Italy",5688.701046,"ktonnes","Nette","Net"
2024,"Groupe EDF","EDF Group","Inde","India",0.000805,"ktonnes","Nette","Net"
2024,"Groupe EDF","EDF Group","Grèce","Greece",484.429996488,"ktonnes","Nette","Net"
2024,"Groupe EDF","EDF Group","France","France",7293.95407976554,"ktonnes","Nette","Net"
2024,"Groupe EDF","EDF Group","Espagne","Spain",94.973958,"ktonnes","Nette","Net"
2024,"Groupe EDF","EDF Group","République Populaire de Chine","People's Republic of China",5402.25,"ktonnes","Nette","Net"
2024,"Groupe EDF","EDF Group","Canada","Canada",0.02415,"ktonnes","Nette","Net"
2024,"Groupe EDF","EDF Group","Brésil","Brazil",938.55,"ktonnes","Nette","Net"
2024,"Groupe EDF","EDF Group","Belgique","Belgium",299.1314043,"ktonnes","Nette","Net"
2024,"Groupe EDF","EDF Group","Allemagne","Germany",1.8676,"ktonnes","Nette","Net"
2024,"Groupe EDF","EDF Group","Monde","World",16095.6383471376,"ktonnes","Intégration globale","Global integration"
2019,"Groupe EDF","EDF group","Chili","Chile",205.0725,"ktonnes","Nette","Net"
2019,"Groupe EDF","EDF group","Pays-Bas","Netherlands",862.5105,"ktonnes","Nette","Net"
2019,"Groupe EDF","EDF group","Viêt Nam","Vietnam",1136.457,"ktonnes","Nette","Net"
2019,"Groupe EDF","EDF group","États-Unis","United States of America",2.425815,"ktonnes","Nette","Net"
2019,"Groupe EDF","EDF group","Royaume-Uni","United Kingdom",4675.502664,"ktonnes","Nette","Net"
2019,"Groupe EDF","EDF group","Pologne","Poland",404.362775294954,"ktonnes","Nette","Net"
2019,"Groupe EDF","EDF group","Italie","Italy",6781.21697581605,"ktonnes","Nette","Net"
2019,"Groupe EDF","EDF group","Grèce","Greece",1101.5173045,"ktonnes","Nette","Net"
